country,year,chemical,iso3c,is_collab,lat,lng,region,iso2c,percentage
Hong Kong,1996,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.158141705
Hong Kong,1997,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.575455366
Hong Kong,1998,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.438543062
Hong Kong,1999,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.391217174
Hong Kong,2000,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.6875627
Hong Kong,2001,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.528632254
Hong Kong,2002,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.529361942
Hong Kong,2003,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.625423346
Hong Kong,2004,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.52886034
Hong Kong,2005,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.450307748
Hong Kong,2006,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.220948547
Hong Kong,2007,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.397284495
Hong Kong,2008,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.253693187
Hong Kong,2009,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.37939694
Hong Kong,2010,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.320402133
Hong Kong,2011,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.526826299
Hong Kong,2012,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.136267491
Hong Kong,2013,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.280397229
Hong Kong,2014,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.396211335
Hong Kong,2015,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.242965307
Hong Kong,2016,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.33127388
Hong Kong,2017,Organometallic,HKG,FALSE,22.30057559,114.1858179,Asia,HK,0.398467728
